Language Name,Direct Parent,Substrata,Superstrata,Adstrata
Aymara,Proto-Aymaran,Puquina,Spanish; Quechua,Quechua; Spanish
Southern Aymara,Aymara,,,
Central Aymara,Aymara,,,
Jaqaru,Proto-Aymaran,,,
Kawki,Proto-Aymaran,,,
Tupian,Amerind (hypothetical),,,
Proto-Tupi,Tupian,,,
Tupi-Guarani,Proto-Tupi,,,
Proto-Tupi-Guarani,Tupi-Guarani,,,
Subgroup I (Guarani),Proto-Tupi-Guarani,,,
Guarani,Subgroup I (Guarani),Unknown Amazonian,Spanish; Portuguese,Spanish; Portuguese
Paraguayan Guaraní,Guarani,,,
Bolivian Guaraní (Chiriguano),Guarani,,,
Mbyá Guaraní,Guarani,,,
Avá Guaraní,Guarani,,,
Kaiowá,Guarani,,,
Subgroup III (Tupi),Proto-Tupi-Guarani,,,
Old Tupi,Subgroup III (Tupi),,,
Tupinambá,Old Tupi,,,
Nheengatu (Lingua Geral Amazônica),Old Tupi,,,
Subgroup IV-V,Proto-Tupi-Guarani,,,
Tembé,Subgroup IV-V,,,
Guajajara,Subgroup IV-V,,,
Subgroup VIII,Proto-Tupi-Guarani,,,
Sirionó,Subgroup VIII,,,
Munduruku,Proto-Tupi,,,
Sateré-Mawé,Proto-Tupi,,,
Ramarama,Proto-Tupi,,,
Tuparí,Proto-Tupi,,,
Arikém,Proto-Tupi,,,
Mondé,Proto-Tupi,,,
Puruborá,Proto-Tupi,,,
Carib,Amerind (hypothetical),,,
Proto-Carib,Carib,,,
Northern Carib,Proto-Carib,,,
Carib (Island Carib),Northern Carib,,,
Akawaio-Pemong,Northern Carib,,,
Akawaio,Akawaio-Pemong,,,
Pemong,Akawaio-Pemong,,,
Kapon,Northern Carib,,,
Macushi,Northern Carib,,,
Arecuna (Pemon),Northern Carib,,,
Southern Carib,Proto-Carib,,,
Hixkaryana,Southern Carib,,,
Kuikúro-Kalapálo,Southern Carib,,,
Bakairí,Southern Carib,,,
Trio-Tiriyó,Southern Carib,,,
Wayana,Southern Carib,,,
Apalaí,Southern Carib,,,
Eastern Carib,Proto-Carib,,,
Kari'nja (Carib proper),Eastern Carib,,,
Arawakan,Amerind (hypothetical),,,
Proto-Arawakan,Arawakan,,,
Northern Arawakan,Proto-Arawakan,,,
Ta-Arawak,Northern Arawakan,,,
Lokono (Arawak proper),Ta-Arawak,,,
Garifuna,Ta-Arawak,,,
Wayuu (Guajiro),Northern Arawakan,,,
Añun,Northern Arawakan,,,
Baniva-Curripaco,Northern Arawakan,,,
Piapoco,Northern Arawakan,,,
Achagua,Northern Arawakan,,,
Southern Arawakan,Proto-Arawakan,,,
Campa,Southern Arawakan,,,
Machiguenga,Southern Arawakan,,,
Piro,Southern Arawakan,,,
Baure,Southern Arawakan,,,
Moxo,Southern Arawakan,,,
Paunaka,Southern Arawakan,,,
Terena,Southern Arawakan,,,
Palikur,Proto-Arawakan,,,
Mapuche,Amerind (hypothetical),,,
Mapudungun,Mapuche,Unknown,Spanish,Spanish; Quechua
Pehuenche,Mapudungun,,,
Huilliche,Mapudungun,,,
Japonic,Dene-Caucasian (hypothetical),,,
Proto-Japonic,Japonic,,,
Japanese,Proto-Japonic,Jomon; Austronesian?,Chinese; Portuguese; Dutch; English,Ainu; Korean; Chinese
Old Japanese,Japanese,,,
Early Middle Japanese,Old Japanese,,,
Late Middle Japanese,Early Middle Japanese,,,
Early Modern Japanese,Late Middle Japanese,,,
Modern Japanese,Early Modern Japanese,,,
Standard Japanese,Modern Japanese,,,
Tokyo dialect,Standard Japanese,,,
Kansai dialect,Modern Japanese,,,
Osaka dialect,Kansai dialect,,,
Kyoto dialect,Kansai dialect,,,
Kyushu dialects,Modern Japanese,,,
Tohoku dialects,Modern Japanese,,,
Hokkaido dialect,Modern Japanese,,,
Hachijo,Old Japanese,,,
Ryukyuan,Proto-Japonic,,,
Proto-Ryukyuan,Ryukyuan,,,
Northern Ryukyuan,Proto-Ryukyuan,,,
Amami,Northern Ryukyuan,,,
Northern Amami,Amami,,,
Southern Amami,Amami,,,
Kunigami,Northern Ryukyuan,,,
Okinawan,Northern Ryukyuan,,,
Southern Ryukyuan,Proto-Ryukyuan,,,
Miyako,Southern Ryukyuan,,,
Yaeyama,Southern Ryukyuan,,,
Yonaguni,Southern Ryukyuan,,,
Koreanic,Dene-Caucasian (hypothetical),,,
Proto-Koreanic,Koreanic,,,
Old Korean,Proto-Koreanic,,,
Middle Korean,Old Korean,,,
Early Modern Korean,Middle Korean,,,
Modern Korean,Early Modern Korean,,,
Standard Korean,Modern Korean,,,
Seoul dialect,Standard Korean,,,
North Korean,Standard Korean,,,
South Korean,Standard Korean,,,
Jeju,Modern Korean,,,
Yukchin,Modern Korean,,,
Hmong-Mien (Miao-Yao),Austric (hypothetical),,,
Proto-Hmong-Mien,Hmong-Mien (Miao-Yao),,,
Hmongic,Proto-Hmong-Mien,,,
Chuanqiandian Hmong,Hmongic,,,
White Hmong,Chuanqiandian Hmong,,,
Green Hmong,Chuanqiandian Hmong,,,
Hmong Daw,Chuanqiandian Hmong,,,
Hmong Njua,Chuanqiandian Hmong,,,
Xiangxi Hmong,Hmongic,,,
Qiandong Hmong,Hmongic,,,
A-Hmao,Hmongic,,,
Mienic,Proto-Hmong-Mien,,,
Iu Mien,Mienic,,,
Kim Mun,Mienic,,,
Biao Min,Mienic,,,
Tai-Kadai (Kra-Dai),Austric (hypothetical),,,
Proto-Tai-Kadai,Tai-Kadai (Kra-Dai),,,
Kra,Proto-Tai-Kadai,,,
Gelao,Kra,,,
Laha,Kra,,,
Lachi,Kra,,,
Kam-Tai,Proto-Tai-Kadai,,,
Kam-Sui,Kam-Tai,,,
Kam,Kam-Sui,,,
Sui,Kam-Sui,,,
Mak,Kam-Sui,,,
Then,Kam-Sui,,,
Tai,Kam-Tai,,,
Proto-Tai,Tai,,,
Northern Tai,Proto-Tai,,,
Zhuang,Northern Tai,,,
Standard Zhuang,Zhuang,,,
Northern Zhuang,Standard Zhuang,,,
Southern Zhuang,Standard Zhuang,,,
Bouyei,Northern Tai,,,
Saek,Northern Tai,,,
Central Tai,Proto-Tai,,,
Tay,Central Tai,,,
Nung,Central Tai,,,
Southern Tai,Proto-Tai,,,
Thai,Southern Tai,Austroasiatic (Mon-Khmer),Sanskrit; Pali; Khmer,Lao; Khmer; Chinese
Standard Thai,Thai,,,
Northern Thai,Thai,,,
Isan (Northeastern Thai),Thai,,,
Southern Thai,Thai,,,
Lao,Southern Tai,Austroasiatic,Sanskrit; Pali,Thai; Khmer
Standard Lao,Lao,,,
Northeastern Lao,Lao,,,
Shan,Southern Tai,,,
Southwestern Tai,Proto-Tai,,,
Lü,Southwestern Tai,,,
Khün,Southwestern Tai,,,
Tai Lue (Xishuangbanna Dai),Southwestern Tai,,,
Hlai,Proto-Tai-Kadai,,,
Kartvelian (South Caucasian),Dene-Caucasian (hypothetical),,,
Proto-Kartvelian,Kartvelian (South Caucasian),,,
Karto-Zan,Proto-Kartvelian,,,
Georgian,Karto-Zan,,,
Old Georgian,Georgian,,,
Middle Georgian,Old Georgian,,,
Modern Georgian,Middle Georgian,,,
Standard Georgian,Modern Georgian,,,
Zan,Karto-Zan,,,
Mingrelian,Zan,,,
Laz,Zan,,,
Svan,Proto-Kartvelian,,,
Upper Bal Svan,Svan,,,
Lower Bal Svan,Svan,,,
Lashkh Svan,Svan,,,
Lentekh Svan,Svan,,,
Northeast Caucasian (Nakh-Daghestanian),Dene-Caucasian (hypothetical),,,
Proto-Northeast Caucasian,Northeast Caucasian (Nakh-Daghestanian),,,
Nakh,Proto-Northeast Caucasian,,,
Chechen,Nakh,,,
Ingush,Nakh,,,
Batsbi (Tsova-Tush),Nakh,,,
Daghestanian,Proto-Northeast Caucasian,,,
Avar-Andic,Daghestanian,,,
Avar,Avar-Andic,,,
Andic,Avar-Andic,,,
Andi,Andic,,,
Botlikh,Andic,,,
Godoberi,Andic,,,
Karata,Andic,,,
Akhvakh,Andic,,,
Bagvalal,Andic,,,
Tindi,Andic,,,
Chamalal,Andic,,,
Tsezic (Didoic),Daghestanian,,,
Tsez (Dido),Tsezic (Didoic),,,
Hinuq,Tsezic (Didoic),,,
Bezhta,Tsezic (Didoic),,,
Hunzib,Tsezic (Didoic),,,
Khwarshi,Tsezic (Didoic),,,
Lak,Daghestanian,,,
Dargi (Dargwa),Daghestanian,,,
Lezgic,Daghestanian,,,
Lezgian,Lezgic,,,
Tabasaran,Lezgic,,,
Agul,Lezgic,,,
Rutul,Lezgic,,,
Tsakhur,Lezgic,,,
Budukh,Lezgic,,,
Kryz,Lezgic,,,
Udi,Lezgic,,,
Archi,Lezgic,,,
Khinalug,Daghestanian,,,
Northwest Caucasian (Abkhaz-Adyghe),Dene-Caucasian (hypothetical),,,
Proto-Northwest Caucasian,Northwest Caucasian (Abkhaz-Adyghe),,,
Ubykh,Proto-Northwest Caucasian,,,
Circassian,Proto-Northwest Caucasian,,,
Adyghe,Circassian,,,
Kabardian,Circassian,,,
Abkhaz-Abaza,Proto-Northwest Caucasian,,,
Abkhaz,Abkhaz-Abaza,,,
Abaza,Abkhaz-Abaza,,,
Tapanta,Abaza,,,
Ashkaraua,Abaza,,,
Trans-New Guinea,Dene-Caucasian (hypothetical),,,
Proto-Trans-New Guinea,Trans-New Guinea,,,
Asmat-Kamoro,Proto-Trans-New Guinea,,,
Asmat,Asmat-Kamoro,,,
Kamoro,Asmat-Kamoro,,,
Awyu-Dumut,Proto-Trans-New Guinea,,,
Awyu,Awyu-Dumut,,,
Dumut,Awyu-Dumut,,,
Dani,Proto-Trans-New Guinea,,,
Grand Valley Dani,Dani,,,
Western Dani,Dani,,,
Enga,Proto-Trans-New Guinea,,,
Huli,Proto-Trans-New Guinea,,,
Chimbu,Proto-Trans-New Guinea,,,
Kewa,Proto-Trans-New Guinea,,,
Melpa,Proto-Trans-New Guinea,,,
Wahgi,Proto-Trans-New Guinea,,,
Angan,Proto-Trans-New Guinea,,,
Angaataha,Angan,,,
Ankave,Angan,,,
Baruya,Angan,,,
Fore,Proto-Trans-New Guinea,,,
Gahuku,Proto-Trans-New Guinea,,,
Kamano,Proto-Trans-New Guinea,,,
Benabena,Proto-Trans-New Guinea,,,
Pama-Nyungan,Human Language,,,
Proto-Pama-Nyungan,Pama-Nyungan,,,
Yolngu,Proto-Pama-Nyungan,,,
Dhuwal,Yolngu,,,
Djambarrpuyngu,Yolngu,,,
Dhangu,Yolngu,,,
Arrernte,Proto-Pama-Nyungan,,,
Eastern Arrernte,Arrernte,,,
Western Arrernte,Arrernte,,,
Warlpiri,Proto-Pama-Nyungan,,,
Pitjantjatjara,Proto-Pama-Nyungan,,,
Yankunytjatjara,Pitjantjatjara,,,
Western Desert Language,Proto-Pama-Nyungan,,,
Kukatja,Western Desert Language,,,
Pintupi,Western Desert Language,,,
Luritja,Western Desert Language,,,
Martu Wangka,Western Desert Language,,,
Yuin-Kuric,Proto-Pama-Nyungan,,,
Gamilaraay,Yuin-Kuric,,,
Yuwaalaraay,Yuin-Kuric,,,
Wiradjuri,Yuin-Kuric,,,
Ngiyambaa,Yuin-Kuric,,,
Kaurna,Proto-Pama-Nyungan,,,
Ngarrindjeri,Proto-Pama-Nyungan,,,
Yolŋu Matha,Proto-Pama-Nyungan,,,
Anindilyakwa,Human Language,,,
Tiwi,Human Language,,,
Isolates (Language),Human Language,,,
Basque,Isolates (Language),Aquitanian; Iberian?,Latin; Spanish; French; Gascon,Spanish; French; Gascon
Burushaski,Isolates (Language),Unknown,Persian; Urdu,Persian; Urdu; Shina
Hunza Burushaski,Burushaski,,,
Nagar Burushaski,Burushaski,,,
Yasin Burushaski,Burushaski,,,
Ainu,Isolates (Language),Unknown Jomon,Japanese,Japanese
Hokkaido Ainu,Ainu,,,
Sakhalin Ainu,Ainu,,,
Kuril Ainu,Ainu,,,
Nivkh (Gilyak),Isolates (Language),,,
Amur Nivkh,Nivkh (Gilyak),,,
Sakhalin Nivkh,Nivkh (Gilyak),,,
Yeniseian,Isolates (Language),,,
Ket,Yeniseian,,,
Yugh,Yeniseian,,,
Kott,Yeniseian,,,
Arin,Yeniseian,,,
Pumpokol,Yeniseian,,,
Kusunda,Isolates (Language),Unknown,Nepali,Nepali; Tibeto-Burman
Nihali (Nahali),Isolates (Language),,,
Sumerian,Isolates (Language),Unknown,Akkadian (later),Akkadian; Semitic
Elamite,Isolates (Language),Unknown,Akkadian; Persian,Akkadian; Sumerian; Iranian
Proto-Elamite,Elamite,,,
Achaemenid Elamite,Proto-Elamite,,,
Hattic (Hattian),Isolates (Language),,,
Kassite,Isolates (Language),,,
Hurrian,Isolates (Language),Unknown pre-Hurrian,Akkadian; Hittite,Semitic; Hittite; Luwian
Urartian,Isolates (Language),Unknown,Assyrian,Armenian (later); Iranian
Etruscan,Isolates (Language),Unknown pre-Etruscan,Latin,Greek; Latin; Italic
Minoan,Isolates (Language),,,
Iberian,Isolates (Language),,,
Tartessian,Isolates (Language),,,
Pictish (possibly Celtic),Isolates (Language),,,
Hadza,Isolates (Language),,,
Sandawe,Isolates (Language),,,
Bangime,Isolates (Language),,,
Jalaa,Isolates (Language),,,
Laal,Isolates (Language),,,
Shabo,Isolates (Language),,,
Ongota,Isolates (Language),,,
Kujarge,Isolates (Language),,,
Mimi of Decorse,Isolates (Language),,,
Mimi of Nachtigal,Isolates (Language),,,
Korean (alternative classification as isolate),Isolates (Language),,,
Japanese (alternative classification as isolate),Isolates (Language),,,
Basque (duplicate entry - remove),Isolates (Language),,,
Ainuan (Ainu language family),Isolates (Language),,,
Purepecha (Tarascan),Isolates (Language),,,
Huave,Isolates (Language),,,
Seri,Isolates (Language),,,
Washo,Isolates (Language),,,
Zuni,Isolates (Language),,,
Haida (alternative classification),Isolates (Language),,,
Kutenai,Isolates (Language),,,
Chimariko,Isolates (Language),,,
Karuk,Isolates (Language),,,
Cayuse,Isolates (Language),,,
Cuitlatec,Isolates (Language),,,
Lenca,Isolates (Language),,,
Xinca,Isolates (Language),,,
Cofán,Isolates (Language),,,
Yuchi,Isolates (Language),,,
Tunica,Isolates (Language),,,
Atakapa,Isolates (Language),,,
Chitimacha,Isolates (Language),,,
Natchez,Isolates (Language),,,
Timucua,Isolates (Language),,,
Takelma,Isolates (Language),,,
Siuslaw,Isolates (Language),,,
Coos,Isolates (Language),,,
Kalapuya,Isolates (Language),,,
Molala,Isolates (Language),,,
Klamath-Modoc,Isolates (Language),,,
Alsea,Isolates (Language),,,
Cayubaba,Isolates (Language),,,
Itonama,Isolates (Language),,,
Leco,Isolates (Language),,,
Movima,Isolates (Language),,,
Yuracare,Isolates (Language),,,
Trumai,Isolates (Language),,,
Ticuna,Isolates (Language),,,
Urarina,Isolates (Language),,,
Candoshi,Isolates (Language),,,
Taushiro,Isolates (Language),,,
Omurano,Isolates (Language),,,
Warao,Isolates (Language),,,
Yagán (Yámana),Isolates (Language),,,
Kawésqar,Isolates (Language),,,
Chon languages (possibly related),Isolates (Language),,,
Tehuelche,Chon languages (possibly related),,,
Selk'nam (Ona),Chon languages (possibly related),,,
Haush,Chon languages (possibly related),,,
Puelche,Isolates (Language),,,
Huarpe,Isolates (Language),,,
Kunza,Isolates (Language),,,
Cacán (Diaguita-Calchaquí),Isolates (Language),,,
Allentiac,Isolates (Language),,,
Millcayac,Isolates (Language),,,
Betoi,Isolates (Language),,,
Irantxe,Isolates (Language),,,
Kanoê,Isolates (Language),,,
Kwaza,Isolates (Language),,,
Leko,Isolates (Language),,,
Maku (various unrelated),Isolates (Language),,,
Puinave,Isolates (Language),,,
Yuri,Isolates (Language),,,
Warembori,Isolates (Language),,,
Sulka,Isolates (Language),,,
Yélî Dnye (Yele),Isolates (Language),,,
Pele-Ata,Isolates (Language),,,
Anêm,Isolates (Language),,,
Ata,Isolates (Language),,,
Baining languages (possibly related),Isolates (Language),,,
Taulil,Baining languages (possibly related),,,
Butam,Baining languages (possibly related),,,
Mali,Baining languages (possibly related),,,
Kol,Isolates (Language),,,
Kuot,Isolates (Language),,,
Lavukaleve,Isolates (Language),,,
Bilua,Isolates (Language),,,
Savosavo,Isolates (Language),,,
Kazukuru (extinct),Isolates (Language),,,
Vitu (extinct),Isolates (Language),,,
Kunggara,Isolates (Language),,,
Laragiya,Isolates (Language),,,
Giimbiyu,Isolates (Language),,,
Malak-Malak,Isolates (Language),,,
Wagiman,Isolates (Language),,,
Wardaman,Isolates (Language),,,
Yangmanic languages (possibly related),Isolates (Language),,,
Yangman,Yangmanic languages (possibly related),,,
Dagoman,Yangmanic languages (possibly related),,,
Wunambal,Isolates (Language),,,
